id,mission,disposition,label,orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_re,equilibrium_temp_k,insolation_flux_earth,stellar_teff_k,stellar_radius_re,apparent_mag,ra,dec
8719324,Kepler,FALSE POSITIVE,0,10.23273611,1.55,,,,,,,11.614,301.11429,44.825802
5471690,Kepler,FALSE POSITIVE,0,0.962815183,2.581,20.7,1.12,3152.0,23331.88,6638.0,2.445,12.876,297.72531,40.640789
5078025,Kepler,FALSE POSITIVE,0,0.696290095,3.839,120.5,12.63,1969.0,3537.89,5904.0,0.867,15.034,283.72379,40.23756
3746248,Kepler,FALSE POSITIVE,0,0.62240698,1.186,155.8,1.63,2663.0,11894.49,6661.0,1.29,12.92,291.2598,38.897999
3757588,Kepler,FALSE POSITIVE,0,24.09002065,11.0494,6782.2,9.39,551.0,21.85,5354.0,0.804,14.94,294.1434,38.893162
3764411,Kepler,FALSE POSITIVE,0,4.4158933,1.155,191.1,1.42,1138.0,395.82,5977.0,1.022,15.417,295.68594,38.889359
3766353,Kepler,FALSE POSITIVE,0,2.666961614,2.4774,7583.4,40.68,1469.0,1104.26,6609.0,0.974,13.968,296.05377,38.89426
5019567,Kepler,FALSE POSITIVE,0,1.17430183,9.587,64.5,2.22,3020.0,19656.66,7537.0,2.145,12.08,294.18454,40.150372
5021732,Kepler,FALSE POSITIVE,0,15.039464523,5.39796,66877.0,51.71,877.0,139.95,6410.0,1.178,13.623,294.7312,40.15049
5022440,Kepler,FALSE POSITIVE,0,3.693951168,2.2534,28290.0,20.88,1148.0,411.07,5968.0,0.881,15.286,294.90256,40.169979
5022900,Kepler,FALSE POSITIVE,0,1.05680287,5.748,82.3,0.83,1633.0,1686.88,5584.0,0.885,15.87,295.01114,40.151402
5024126,Kepler,FALSE POSITIVE,0,0.787122102,3.0999,596.8,20.76,1655.0,1775.05,5210.0,0.799,15.626,295.27374,40.133659
5024268,Kepler,FALSE POSITIVE,0,2.15045295,4.453,169.1,24.27,4340.0,83894.63,4899.0,18.92,11.359,295.29596,40.186569
5024372,Kepler,FALSE POSITIVE,0,0.561524348,3.336,34.1,0.43,2050.0,4173.47,5919.0,0.715,14.564,295.31177,40.19759
